,tconst,primary_title,genres,numvotes,averagerating,start_year,runtime_minutes,Comedy,Action,Documentary,Sport,Musical,Animation,Romance,News,Game-Show,Fantasy,Horror,History,Biography,Drama,Music,Sci-Fi,Thriller,Adventure,Family,Crime,Western,Mystery,War
55837,tt5685006,Puppet Master: The Littlest Reich,"['Comedy', 'Horror']",2372,5.4,2018,90.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55841,tt5686062,Boundaries,"['Comedy', 'Drama']",1604,4.7,2018,104.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55849,tt5687040,Ismael's Ghosts,"['Drama', 'Romance', 'Thriller']",1786,5.6,2017,114.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
55854,tt5687334,Godard Mon Amour,"['Biography', 'Comedy', 'Drama']",3537,6.6,2017,107.0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
55857,tt5687416,What's Up with Love 2,"['Comedy', 'Drama', 'Romance']",1449,7.4,2016,123.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55858,tt5687424,Black Hollow Cage,"['Drama', 'Horror', 'Sci-Fi']",1148,5.5,2017,105.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
55859,tt5687814,Golden Exits,['Drama'],1479,5.8,2017,94.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55866,tt5688868,Primal Rage: The Legend of Konga,"['Action', 'Adventure', 'Horror']",2196,4.9,2018,106.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
55868,tt5688932,Sorry to Bother You,"['Comedy', 'Fantasy', 'Sci-Fi']",40290,7.0,2018,111.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
55869,tt5688996,Alex Strangelove,"['Comedy', 'Drama', 'Romance']",11358,6.3,2018,99.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55871,tt5689068,Killing Gunther,"['Action', 'Comedy']",8837,4.7,2017,92.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55879,tt5690142,Mom,"['Crime', 'Drama', 'Thriller']",6853,7.3,2017,146.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
55883,tt5690360,Slender Man,"['Horror', 'Mystery', 'Thriller']",19650,3.2,2018,93.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
55889,tt5691024,Show Dogs,"['Adventure', 'Comedy', 'Family']",3458,3.7,2018,92.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
55892,tt5691226,Pashupati Prasad,"['Drama', 'Romance']",1089,9.0,2016,140.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55895,tt5691670,Under the Silver Lake,"['Comedy', 'Crime', 'Drama']",16390,6.4,2018,139.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
55899,tt5692390,Status Update,"['Comedy', 'Fantasy', 'Romance']",2845,5.8,2018,106.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55907,tt5693136,The Giant,"['Drama', 'History']",2638,6.8,2017,114.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
55935,tt5697870,Lucknow Central,"['Action', 'Drama', 'Music']",2216,6.2,2017,133.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
