tconst,genres,numvotes,averagerating,start_year,runtime_minutes,Adult,Sport,Sci-Fi,Fantasy,News,Western,Thriller,Family,Game-Show,Mystery,Music,Reality-TV,Animation,Drama,Adventure,Romance,History,Horror,War,Short,Biography,Documentary,Crime,Musical,Comedy,Action,release_date,movie,production_budget,domestic_gross,worldwide_gross,year,month,roi
tt2121250,['Crime'],102,5.5,2013,116.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2018-08-17,alpha,51000000.0,"$35,851,379",99624873.0,2018,8,95.34288823529413
tt3166734,"['Drama', 'Horror', 'Mystery']",37,7.7,2015,80.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2018-08-17,alpha,51000000.0,"$35,851,379",99624873.0,2018,8,95.34288823529413
tt4244998,"['Adventure', 'Drama', 'Family']",41882,6.7,2018,96.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,2018-08-17,alpha,51000000.0,"$35,851,379",99624873.0,2018,8,95.34288823529413
tt2121286,['Drama'],360,6.6,2012,104.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2017-09-08,home again,15000000.0,"$27,020,284",37336874.0,2017,9,148.91249333333334
tt5719700,"['Comedy', 'Drama', 'Romance']",22614,5.8,2017,97.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,2017-09-08,home again,15000000.0,"$27,020,284",37336874.0,2017,9,148.91249333333334
tt2122313,"['Drama', 'Fantasy', 'Horror']",2396,5.9,2015,144.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2017-04-28,the circle,18000000.0,"$20,497,844",40651864.0,2017,4,125.84368888888888
tt2786328,"['Adventure', 'Documentary', 'History']",8,7.6,2013,48.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,2017-04-28,the circle,18000000.0,"$20,497,844",40651864.0,2017,4,125.84368888888888
tt2943946,"['Drama', 'Horror', 'Thriller']",17,5.1,2017,93.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2017-04-28,the circle,18000000.0,"$20,497,844",40651864.0,2017,4,125.84368888888888
tt3148952,"['Biography', 'Drama', 'Romance']",1316,7.3,2014,102.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,2017-04-28,the circle,18000000.0,"$20,497,844",40651864.0,2017,4,125.84368888888888
tt4287320,"['Drama', 'Sci-Fi', 'Thriller']",72536,5.3,2017,110.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2017-04-28,the circle,18000000.0,"$20,497,844",40651864.0,2017,4,125.84368888888888
tt2125430,['Drama'],200,7.3,2014,89.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014-07-18,an american in hollywood,125000.0,$0,0.0,2014,7,-100.0
tt2125435,"['Adventure', 'Drama', 'Fantasy']",77440,7.3,2012,93.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,2012-06-27,beasts of the southern wild,1800000.0,"$12,795,746",23265132.0,2012,6,1192.5073333333335
tt2125681,"['Horror', 'Romance', 'Thriller']",14,6.0,2013,85.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,2018-04-13,truth or dare,3500000.0,"$41,411,015",95127344.0,2018,4,2617.9241142857145
